User agent	Version	OS	Hardware Type	Popularity
Mozilla/5.0 (Linux; Android 10; LM-Q720 Build/QKQ1.200308.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.105 Mobile Safari/537.36 Instagram 181.0.0.33.117 Android (29/10; 420dpi; 1080x2034; LGE/lge; LM-Q720; cv7as; cv7as; es_US; 281579032)	181.0	Android	Mobile	Average
Mozilla/5.0 (Linux; Android 9; SM-G955U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36 Instagram 174.0.0.31.132 Android (28/9; 420dpi; 1080x2094; samsung; SM-G955U; dream2qltesq; qcom; en_US; 272382110)	174.0	Android	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 11; SM-G980F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/88.0.4324.141 Mobile Safari/537.36 Instagram 181.0.0.33.117 Android (30/11; 480dpi; 1080x2178; samsung; SM-G980F; x1s; exynos990; de_AT; 281579032)	181.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 121.0.0.18.122 (iPhone11,8; iOS 13_1_3; en_US; en-US; scale=2.00; 828x1792; 184731909)	121.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 181.1.0.27.117 (iPhone11,2; iOS 14_1; en_US; en; scale=3.00; 1125x2436; 282277724)	181.1	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 7.0; SM-G930F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/63.0.3239.111 Mobile Safari/537.36 Instagram 27.0.0.11.97 Android (24/7.0; 480dpi; 1080x1920; samsung; SM-G930F; herolte; samsungexynos8890; pt_BR)	27.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 148.0.0.26.120 (iPhone11,6; iOS 13_5_1; en_US; en-US; scale=3.00; 1242x2688; 226453516)	148.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 6.0.1; SM-G610M Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/63.0.3239.111 Mobile Safari/537.36 Instagram 32.0.0.16.94 Android (23/6.0.1; 480dpi; 1080x1920; samsung; SM-G610M; on7xelte; samsungexynos7870; pt_BR; 91882539)	32.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 184.0.0.23.117 (iPhone12,5; iOS 14_4_2; en_US; en-US; scale=3.00; 1242x2688; 285355179)	184.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E216 Instagram 33.0.0.11.96 (iPhone9,3; iOS 11_3; pt_BR; pt-BR; scale=2.00; gamut=wide; 750x1334)	33.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 7.0; Moto G (5) Build/NPPS25.137-93-2-5; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 Mobile Safari/537.36 Instagram 64.0.0.14.96 Android (24/7.0; 408dpi; 1080x1798; motorola; Moto G (5); cedric; qcom; pt_BR; 125398471)	64.0	Android	Mobile	Average
Mozilla/5.0 (Linux; Android 7.0; Moto G (5) Build/NPPS25.137-93-8; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.126 Mobile Safari/537.36 Instagram 43.0.0.10.97 Android (24/7.0; 480dpi; 1080x1776; motorola; Moto G (5); cedric; qcom; pt_BR; 105842053)	43.0	Android	Mobile	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 117.0.0.23.163 (iPhone11,8; iOS 13_1_3; en_US; en-US; scale=2.00; 828x1792; 179857224)	117.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 Instagram 51.0.0.31.168 (iPhone8,4; iOS 10_3_2; pt_BR; pt-BR; scale=2.00; gamut=normal; 640x1136)	51.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 135.1.0.23.118 (iPhone11,8; iOS 13_3_1; en_US; en-US; scale=2.00; 828x1792; 206833405)	135.1	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 124.0.0.11.473 (iPhone10,3; iOS 13_3; en_US; en-US; scale=3.00; 1125x2436; 192646147)	124.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 7.0; Moto G (4) Build/NPJS25.93-14-15; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/65.0.3325.109 Mobile Safari/537.36 Instagram 41.0.0.13.92 Android (24/7.0; 480dpi; 1080x1776; motorola; Moto G (4); athene_f; qcom; pt_BR; 103516666)	41.0	Android	Mobile	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 123.0.0.24.115 (iPhone10,6; iOS 13_3; en_US; en-US; scale=3.00; 1125x2436; 188362626)	123.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16A366 Instagram 65.0.0.12.86 (iPhone8,1; iOS 12_0; es_CO; es-CO; scale=2.00; gamut=normal; 750x1334; 125889668)	65.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 128.0.0.19.119 (iPhone11,8; iOS 13_3_1; en_US; en-US; scale=2.00; 828x1792; 197357527)	128.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16B92 Instagram 72.0.0.20.101 (iPhone9,2; iOS 12_1; en_US; en-US; scale=2.61; gamut=wide; 1080x1920; 131642248)	72.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone11,6; iOS 14_2; en_US; en-US; scale=3.00; 1242x2688; 261791898)	169.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 Instagram 49.0.0.14.178 (iPhone8,4; iOS 11_4; pt_BR; pt-BR; scale=2.00; gamut=normal; 640x1136)	49.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 177.0.0.20.117 (iPhone12,1; iOS 14_4; en_US; en-US; scale=2.00; 828x1792; 275424340)	177.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 121.1.0.22.122 (iPhone11,6; iOS 13_1_3; en_US; en-US; scale=3.00; 1242x2688; 185888820)	121.1	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 125.0.0.18.125 (iPhone10,2; iOS 13_3; en_US; en-US; scale=2.61; 1080x1920; 193828684)	125.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 123.0.0.24.115 (iPhone9,3; iOS 13_3; en_US; en-US; scale=2.00; 750x1334; 188362626)	123.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 157.0.0.23.119 (iPhone11,8; iOS 13_6_1; en_US; en-US; scale=2.00; 828x1792; 241452311)	157.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 123.0.0.24.115 (iPhone11,8; iOS 13_1_3; en_US; en-US; scale=2.00; 828x1792; 188362626)	123.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 172.0.0.22.118 (iPhone12,5; iOS 14_3; en_US; en-US; scale=3.00; 1242x2688; 269286904)	172.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 116.0.0.24.361 (iPhone11,8; iOS 13_1_3; en_US; en-US; scale=2.00; 828x1792; 178418958)	116.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 134.0.0.25.116 (iPhone11,6; iOS 13_3_1; en_US; en-US; scale=3.00; 1242x2688; 204771128)	134.0	iOS	Mobile - Phone	Average
Mozilla/5.0 (Linux; Android 6.0.1; SM-J500M Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.158 Mobile Safari/537.36 Instagram 45.0.0.17.93 Android (23/6.0.1; 320dpi; 720x1280; samsung; SM-J500M; j5lte; qcom; pt_BR; 108357720)	45.0	Android	Mobile - Phone	Average
Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 184.0.0.23.117 (iPhone12,1; iOS 14_4_2; nl_NL; nl-NL; scale=2.00; 828x1792; 285355179)	184.0	iOS	Mobile - Phone	Average
